iter	Passed	Remaining
455	857	1022
456	859	1021
457	860	1018
458	862	1016
459	863	1013
460	865	1012
461	867	1010
462	869	1008
463	871	1006
464	873	1005
465	875	1002
466	876	1000
467	878	998
468	879	995
469	881	993
470	882	991
471	884	988
472	885	986
473	887	984
474	888	982
475	889	979
476	891	977
477	892	974
478	894	972
479	895	970
480	898	969
481	899	966
482	901	964
483	902	962
484	904	960
485	906	958
486	907	956
487	909	954
488	911	952
489	912	949
490	914	947
491	915	945
492	917	943
493	918	940
494	920	938
495	921	936
496	923	934
497	924	931
498	925	929
499	927	927
500	928	924
501	930	922
502	931	920
503	933	918
504	935	916
505	937	914
506	938	912
507	939	910
508	941	908
509	942	905
510	944	903
511	945	901
512	947	899
513	949	897
514	951	895
515	952	893
516	954	891
517	956	889
518	957	887
519	960	886
520	961	884
521	963	881
522	965	880
523	966	878
524	968	875
525	969	873
526	971	872
527	973	870
528	974	867
529	976	865
530	977	863
531	979	861
532	980	859
533	981	856
534	983	855
535	985	852
536	986	850
537	988	848
538	989	846
539	991	844
540	992	842
541	994	840
542	995	838
543	997	835
544	998	833
545	1000	831
546	1001	829
547	1004	828
548	1006	826
549	1007	824
550	1009	822
551	1010	820
552	1012	818
553	1013	816
554	1015	814
555	1017	812
556	1019	810
557	1020	808
558	1022	806
559	1023	804
560	1025	802
561	1026	800
562	1028	798
563	1029	796
564	1031	793
565	1032	791
566	1034	790
567	1036	787
568	1037	785
569	1039	783
570	1040	782
571	1042	779
572	1043	777
573	1045	775
574	1047	773
575	1048	772
576	1050	769
577	1052	768
578	1053	765
579	1055	764
580	1056	761
581	1058	760
582	1060	758
583	1061	756
584	1062	754
585	1064	752
586	1066	750
587	1067	748
588	1069	746
589	1070	743
590	1071	741
591	1073	739
592	1074	737
593	1076	736
594	1078	733
595	1079	731
596	1081	729
597	1083	728
598	1085	726
599	1086	724
600	1088	722
601	1089	720
602	1091	718
603	1093	716
604	1095	714
605	1096	713
606	1098	711
607	1099	709
608	1101	706
609	1102	704
610	1104	702
611	1105	700
612	1107	699
613	1109	697
614	1110	695
615	1112	693
616	1113	691
617	1115	689
618	1116	687
619	1119	685
620	1121	684
621	1122	682
622	1124	680
623	1125	678
624	1127	676
625	1128	674
626	1130	672
627	1132	670
628	1133	668
629	1135	666
630	1136	664
631	1138	663
632	1140	661
633	1142	659
634	1143	657
635	1144	655
636	1146	653
637	1147	651
638	1148	649
639	1150	647
640	1152	645
641	1153	643
642	1155	641
643	1156	639
644	1158	637
645	1160	635
646	1161	633
647	1163	631
648	1164	630
649	1166	628
650	1167	626
651	1169	624
652	1171	622
653	1172	620
654	1174	618
655	1175	616
656	1177	614
657	1178	612
658	1179	610
659	1181	608
660	1182	606
661	1184	604
662	1185	602
663	1187	600
664	1188	598
665	1190	596
666	1191	594
667	1193	593
668	1194	591
669	1196	589
670	1197	587
671	1199	585
672	1200	583
673	1202	581
674	1203	579
675	1205	577
676	1206	575
677	1207	573
678	1209	571
679	1211	569
680	1212	568
681	1214	566
682	1216	564
683	1217	562
684	1219	560
685	1220	558
686	1222	556
687	1224	555
688	1226	553
689	1227	551
690	1229	549
691	1232	548
692	1233	546
693	1234	544
694	1236	542
695	1237	540
696	1239	538
697	1240	536
698	1241	534
699	1243	532
700	1244	531
701	1246	529
702	1247	527
703	1249	525
704	1251	523
705	1252	521
706	1254	519
707	1256	518
708	1258	516
709	1259	514
710	1260	512
711	1262	510
712	1263	508
713	1265	506
714	1266	504
715	1268	503
716	1270	501
717	1271	499
718	1273	497
719	1274	495
720	1276	493
721	1277	491
722	1279	490
723	1281	488
724	1282	486
725	1284	484
726	1285	482
727	1287	481
728	1288	479
729	1290	477
730	1291	475
731	1293	473
732	1295	471
733	1296	469
734	1299	468
735	1300	466
736	1302	464
737	1303	462
738	1305	461
739	1307	459
740	1308	457
741	1309	455
742	1311	453
743	1313	451
744	1314	449
745	1315	448
746	1317	446
747	1319	444
748	1320	442
749	1322	440
750	1323	438
751	1325	437
752	1326	435
753	1328	433
754	1329	431
755	1331	429
756	1332	427
757	1334	425
758	1335	424
759	1337	422
760	1338	420
761	1340	418
762	1341	416
763	1343	414
764	1344	413
765	1346	411
766	1347	409
767	1349	407
768	1350	405
769	1352	403
770	1353	402
771	1355	400
772	1357	398
773	1358	396
774	1359	394
775	1361	392
776	1362	391
777	1364	389
778	1366	387
779	1367	385
780	1369	384
781	1371	382
782	1372	380
783	1374	378
784	1375	376
785	1377	375
786	1379	373
787	1381	371
788	1382	369
789	1384	367
790	1386	366
791	1387	364
792	1389	362
793	1390	360
794	1392	358
795	1393	357
796	1395	355
797	1397	353
798	1398	351
799	1400	350
800	1401	348
801	1403	346
802	1404	344
803	1406	342
804	1407	340
805	1409	339
806	1410	337
807	1412	335
808	1413	333
809	1415	331
810	1416	330
811	1418	328
812	1419	326
813	1421	324
814	1423	323
815	1424	321
816	1426	319
817	1427	317
818	1429	315
819	1430	314
820	1432	312
821	1433	310
822	1436	308
823	1438	307
824	1439	305
825	1441	303
826	1443	301
827	1444	300
828	1446	298
829	1447	296
830	1449	294
831	1450	292
832	1452	291
833	1454	289
834	1455	287
835	1457	285
836	1458	284
837	1460	282
838	1461	280
839	1463	278
840	1464	276
841	1466	275
842	1468	273
843	1469	271
844	1471	269
845	1473	268
846	1474	266
847	1476	264
848	1477	262
849	1479	261
850	1480	259
851	1481	257
852	1483	255
853	1484	253
854	1486	252
855	1487	250
856	1489	248
857	1491	246
858	1493	245
859	1494	243
860	1496	241
861	1497	239
862	1499	238
863	1500	236
864	1502	234
865	1503	232
866	1505	230
867	1506	229
868	1507	227
869	1511	225
870	1512	224
871	1514	222
872	1515	220
873	1517	218
874	1519	217
875	1520	215
876	1522	213
877	1523	211
878	1525	209
879	1526	208
880	1528	206
881	1529	204
882	1531	202
883	1532	201
884	1533	199
885	1535	197
886	1536	195
887	1538	193
888	1539	192
889	1541	190
890	1542	188
891	1543	186
892	1545	185
893	1546	183
894	1547	181
895	1549	179
896	1550	178
897	1552	176
898	1553	174
899	1555	172
900	1556	171
901	1557	169
902	1559	167
903	1561	165
904	1563	164
905	1564	162
906	1566	160
907	1567	158
908	1568	157
909	1570	155
910	1571	153
911	1573	151
912	1574	150
913	1576	148
914	1577	146
915	1578	144
916	1580	143
917	1581	141
918	1583	139
919	1584	137
920	1586	136
921	1587	134
922	1588	132
923	1590	130
924	1591	129
925	1593	127
926	1594	125
927	1596	123
928	1597	122
929	1599	120
930	1600	118
931	1602	116
932	1604	115
933	1606	113
934	1607	111
935	1609	110
936	1611	108
937	1612	106
938	1613	104
939	1615	103
940	1616	101
941	1618	99
942	1620	97
943	1622	96
944	1623	94
945	1624	92
946	1626	91
947	1627	89
948	1630	87
949	1631	85
950	1633	84
951	1634	82
952	1636	80
953	1637	78
954	1639	77
955	1640	75
956	1642	73
957	1643	72
958	1644	70
959	1646	68
960	1648	66
961	1649	65
962	1651	63
963	1653	61
964	1655	60
965	1656	58
966	1657	56
967	1659	54
968	1660	53
969	1662	51
970	1664	49
971	1665	47
972	1667	46
973	1668	44
974	1670	42
975	1671	41
976	1673	39
977	1675	37
978	1676	35
979	1678	34
980	1679	32
981	1681	30
982	1682	29
983	1683	27
984	1685	25
985	1686	23
986	1688	22
987	1689	20
988	1691	18
989	1692	17
990	1693	15
991	1695	13
992	1696	11
993	1697	10
994	1699	8
995	1700	6
996	1702	5
997	1703	3
998	1705	1
999	1706	0
